,Hotel name,Address,Price (avg/night),Facilities,Rating,Reviews,Likes
79,Nana's Place ,"Port Harcourt, Rivers - 26 Igboukwu Street D-Line",9000,",Internet,
Restaurant,
Bar

",no rating,2,"

86"
80,Parkhotels,"Port Harcourt, Rivers - 1, Water Works Road, Rumuola",no price,",Restaurant,
Bar

",no rating,1,"

60"
81,Read Hotels And Towers,"Port Harcourt, Rivers - 14 Eneka,Rukpokwu Road. ",8000,",Restaurant,
Pool

",no rating,1,"

58"
82,Hano Hotel And Suites,"Port Harcourt, Rivers -  56 Orogbum Crescent, GRA Phase 2",14000,",Internet,
Restaurant,
Bar

",no rating,1,"

283"
83,Hotel D'Azur,"Port Harcourt, Rivers - 12, Ojiba Crescent Off NTA Apara Link Road Mgbuoba, Port Harcourt ",17000,",Restaurant,
Bar

",no rating,3,"

237"
84,Tuscany Suites,"Port Harcourt, Rivers - 206 Obi Wali,Road Rumuigbo.",12000,",Restaurant,
Bar

",no rating,no review,"

207"
85,City Express Hotel,"Port Harcourt, Rivers - 30 Nyewe - Eli O.N. Nsirim Road, Mile 4, Rumueme",8000,",Restaurant,
Pool,
Bar

",no rating,no review,"

54"
86,The Cosmic Hotel ,"Port Harcourt, Rivers - 16 Elewa Avenue, Opp. Jeftoni, Off East-West Road, Eliowhani, Obio Akpor.",no price,"
",no rating,no review,"

43"
87,Genesis Place,"Port Harcourt, Rivers - Plot 198/199, Rumuogba Estate, Aba Express Road, Rumuogba",16500,",Internet,
Restaurant,
Bar

",7.6 Very Good,4,"

186"
88,Best Western Premier,"Port Harcourt, Rivers - Aba Expressway, KM 16, Opposite Intel Camp, Eleme, Port Harcourt, Nigeria",35750,",Internet,
Restaurant,
Pool,
Gym

",no rating,3,"

136"
89,Dazey Suites ,"Port Harcourt, Rivers - 15 Uniport Road Owhipa Choba ",5000,",Restaurant,
Bar

",no rating,no review,"

110"
90,The Manor Hotel,"Port Harcourt, Rivers - 5 Omerelu Street GRA Phase I",11730,",Internet,
Restaurant,
Bar

",no rating,4,"

90"
91,Goldstone Luxury Suites,"Port Harcourt, Rivers -  10 Royal Crescent, Off Proff Abowei Street, GRA Phase II.",20000,",Internet,
Restaurant,
Bar

",7.0 Very Good,1,"

45"
92,LA Kings Hotel,"Port -Harcourt, Rivers - 31 Ken Saro Wiwa Rd., Former Stadium Rd.",30000,"
",no rating,no review,"

21"
93,C'RON HOTELS AND SUITES,"Port -Harcourt, Rivers - SARS Road, By Elikpowuordu Junction, Rukpokwu, Obio/Akpor LGA",15000,",Pool,
Bar

",no rating,no review,"

19"
94,Anko Home Hotels,"Port Harcourt, Rivers - No 4 East West Road, Uniport By Deli Spices, Port Harcourt",2500,"
",no rating,no review,"

166"
95,Denami Suites ,"Port Harcourt, Rivers - 14 Eze Apara Close, Off NTA/ Apara Link Road, Rumuigbo New Layout.",10000,",Restaurant,
Bar

",no rating,no review,"

648"
96,Alasaka Hotel ," Port Harcourt, Rivers -  18 Nwakanhu Sunshine Estate, Redeem Road, Rumunduru, Off East-West Road, Eliowhani, Obio Akpor",3500,"
",no rating,no review,"

27"
97,Tevit Homes,"Port Harcourt, Rivers - No 31/46, Forces Avenue, Old GRA, ",10000,",Restaurant,
Bar,
Gym

",no rating,no review,"

183"
98,NO 3 Hotel,"Port Harcourt, Rivers - No 3 King Perekule Street, New GRA, Port Harcourt",15000,",Restaurant,
Bar

",6.0 Very Good,1,"

209"
99,The Elkan Terrace,"Port Harcourt, Rivers - Plot 12B Abacha Link Road, GRA Phase 3",29400,",Internet,
Restaurant,
Bar,
Gym

",7.4 Very Good,2,"

151"
100,Lotus Hotels ,"Port Harcourt, Rivers - Bozgomero Estate 30, Abuloma Road, Trans-Amadi Layout",13000,",Restaurant,
Pool,
Bar,
Gym

",no rating,3,"

149"
101,Greenfield Resorts Limited,"Port Harcourt, Rivers - 12-16 Bishop Dimeri Street Off Evo Road, GRA Phase II.",10000,",Restaurant,
Pool,
Bar

",no rating,1,"

101"
102,Living Shepherds Hill Hotels ,"Port Harcourt, Rivers - 44 Okporo Road, First Artillery Junction, Rumuogba-Obio",6650,",Restaurant,
Bar

",6.4 Very Good,3,"

86"
103,Sapphire Hotels Limited,"Port Harcourt, Rivers - 13,Ovunwo Street Off Khana Street, D/Line.",6000,",Restaurant,
Bar

",no rating,no review,"

112"
104,Manorgrove House Hotel,"Port Harcourt, Rivers - NTA Road Opposite NTA Premises ",13000,",Restaurant,
Bar

",no rating,no review,"

56"
105,Bestvile Hotel,"Port Harcourt, Rivers - No. 31 Ahoda Street Rumuibekwe Housing Estate, By Shell R.A ",12000,"
",no rating,no review,"

47"
106,Limpopo Springs,"Port Harcourt, Rivers - 7 Boskel Road, Aba/Ph Expressway",17000,",Internet,
Restaurant,
Pool

",no rating,3,"

34"
107,Le-Eldera Hotel," Port Harcourt, Rivers - 1 Glass House, Convenant Avenue Off Stadium Road, Port Harcourt, ",26000,",Restaurant,
Pool,
Bar

",no rating,no review,"

32"
108,Royal Diamond Hotel,"Port Harcourt, Rivers - 1 Chief Mba Close Before Artillery Junction Aba Express Way, Rumuogba",8000,",Internet,
Restaurant,
Bar

",no rating,no review,"

19"
109,Modex Hotel,"Port Harcourt, Rivers - 22 Professor Abowei Street, GRA 500272, Port Harcourt ",13500,"
",no rating,no review,"

17"
110,Max-Chef Hotels Limited,"Port Harcourt, Rivers -  4 Maxwel Owabie Street, Iwofe Road By Ada George Junction.",6000,",Restaurant

",no rating,no review,"

112"
111,Daffodil Meridien Hotel,"Port Harcourt, Rivers - 203 Eneka/Igwuruta Road, Opposite Model Primary School/Divisional Elimgbu Police Station",7000,",Pool,
Bar,
Gym

",7.0 Very Good,1,"

192"
112,Everyday Check Inn Limited,"Port Harcourt, Rivers -  26 Elelenwo Street. GRA",18315,",Internet,
Restaurant

",no rating,2,"

186"
113,Davidson International Hotel,"Port Harcourt, Rivers - 34 Deeper Life Road, Off 175 Abuloma Road, Port Harcourt, Rivers State, Nigeria.",4800,",Restaurant,
Bar

",7.3 Very Good,3,"

99"
114,Beverly Hills Hotel ,"Port Harcourt, Rivers - 130 Woji Road, GRA Phase II  ",9000,",Internet,
Restaurant,
Pool,
Bar

",no rating,38,"

1894"
115,Sanclin Hotel,"Port Harcourt, Rivers - Plot 4 Eternity Close Off Eliparanwo,Off Ada George Road.",6500,",Restaurant,
Bar

",7.7 Very Good,3,"

211"
116,Ivory Hotels ,"Port Harcourt, Rivers - Ohia Ogologo Layout, Nkpolu Rumuigbo By Mercyland, Redeem Camp,East-West Road",6500,",Restaurant,
Bar

",no rating,6,"

82"
117,Tocville Gardens And Suites,"Port Harcourt, Rivers - Ada-George Road, Near Kala Police Post, Rumuepirikom",8000,",Internet,
Restaurant,
Pool,
Bar,
Gym

",no rating,no review,"

80"
118,Ferguson International Guest House,"Port Harcourt, Rivers - 1 Elelenwo Str. GRA Phase I.",6000,",Restaurant

",no rating,3,"

77"
119,Wingate House Hotel,"Port Harcourt, Rivers - 15 Ohia Mini Road, Rumuigbo",12810,",Restaurant,
Bar

",7.6 Very Good,2,"

75"
120,The Riviera Homes Golf Resort,"Port Harcourt, Rivers - 15, Ernest Ikoli Street, Old GRA",30000,",Internet,
Restaurant,
Bar

",no rating,1,"

53"
121,Mckay Resort Suites ,"Port Harcourt, Rivers - No 35 Uniport Road Opposite Everich Choba",5000,",Restaurant,
Pool

",no rating,no review,"

53"
122,Embel Hotels,"Port Harcourt, Rivers - 13 Eliowhani/ Rumunduru Road, Obio Akpor",6500,",Restaurant,
Bar

",no rating,no review,"

30"
123,George Raynolds Hotels ,"Port Harcourt, Rivers - 16, Wellington Close Off Location Road, Mgbuoba, Port Harcourt, Rivers ",no price,",Restaurant,
Pool,
Bar

",no rating,no review,"

28"
124,Twinkles Hotel,"Port Harcourt, Rivers - 8 Graceland Avenue,Tombia Extension, GRA Phase 2",12000,",Pool,
Bar

",no rating,no review,"

27"
125,Samaritan Hotels Limited,"Port Harcourt, Rivers - 27-31 Olozu Street,Off Stadium Road",7000,",Internet,
Restaurant,
Bar

",no rating,no review,"

12"
126,DANETO HOTEL AND CONFERENCE LTD,"Port Harcourt, Rivers - No. 8 Rehoboth Drive Off Egbo Etche Road Eleme Junction By Aba Road Portharcourt",10000,",Restaurant,
Bar

",no rating,no review,"

12"
127,Afrique Continental,"Port Harcourt, Rivers - No 2 Chief Goka Street, Akpajo-Eleme, Along East West Road",no price,"
",no rating,no review,"

10"
128,De Eagle Hotel ,"Port Harcourt, Rivers - Nkpolu Road, Off The East West Road At Nkpolu Junction",no price,",Restaurant

",no rating,no review,"

8"
129,Chekwa Guest House ,"Port Harcourt, Rivers - 10 0nwuchekwa Avenue, Elelenwo",2500,"
",no rating,no review,"

43"
130,Pixy Hotels,"Port Harcourt, Rivers - Road 2-Pixy Avenue, Oroazi Layout.",7000,",Restaurant,
Pool,
Bar

",no rating,1,"

67"
131,Arcania Hotel,"Port Harcourt, Rivers -  5 Ada George, ",4000,",Restaurant,
Bar

",6.8 Very Good,1,"

201"
132,Amam Hotels Limited,"Port Harcourt, Rivers - No 2, Okomoko Street D/Line, Rumuepirikom, Port Harcourt, Nigeria",6500,",Restaurant,
Bar

",no rating,no review,"

79"
133,Mekan Hotels,"Port Harcourt, Rivers - 17 Old Refinery Road, Akpajo, Eleme",5000,"
",no rating,no review,"

27"
134,Grand Montecito Hotels ,"Port Harcourt, Rivers - Plot F/33, Sani Abacha Road, Close 303 GRA Phase 3",10000,",Restaurant

",no rating,2,"

92"
135,Aldgate Hotels,"Port Harcourt, Rivers - 20B King Perekule Street G.R.A Phase II",8050,",Restaurant,
Bar

",7.2 Very Good,10,"

408"
136,Amanda Hotels,"Port Harcourt, Rivers - Plot 317 Woji Road G.R.A Phase II,",12000,",Restaurant,
Bar

",no rating,3,"

250"
137,City View Hotels,"Port Harcourt, Rivers - Plot 15/17, Close 2, Akwara Avenue, Off Orazi/ Ebara Road, Opposite Sonabel Medical Centre, Mile 4, Rumueme.",7000,",Internet,
Restaurant

",no rating,2,"

196"
138,"Hatfield Hotel, Port Harcourt","Port Harcourt, Rivers - 4 Ogbonda St, Total/Elf Village Rd, Shell R.A, 1st Artillery.",9500,",Internet,
Restaurant,
Pool,
Bar,
Gym

",7.9 Very Good,4,"

77"
139,Claridon Hotels ,"Port Harcourt, Rivers - 273/274 Aba Expressway, Rumuogba",25200,",Restaurant,
Pool,
Bar,
Gym

",no rating,1,"

69"
140,NorthCrest Hotel,"Port Harcourt, Rivers - 100 Grace Avenue, Along NDDC Road, Opposite Eckankar.",8000,",Restaurant,
Bar

",7.2 Very Good,1,"

62"
141,Libac Hotels,"Port Harcourt, Rivers - KM16 Portharcort Int'l Airport Road, Opp. Police Divisional Headquaters, Igwuruta Portharcourt, River State",8000,",Internet,
Restaurant

",no rating,no review,"

58"
142,EDITIMS HOTELS LIMITED,"Port Harcourt, Rivers - 15 Ebara Orazi, Rumueme, Obio Akpor P.H",15000,"
",no rating,no review,"

51"
143,Diana Hotels ,"Port Harcourt, Rivers - 42B Obi Wali Road, Rumuigbo",6000,",Restaurant,
Bar

",no rating,no review,"

41"
144,Starking Suites,"Port Harcourt, Rivers - 7 Tombia Road, Opp Polo Field, Port Harcourt",no price,",Internet,
Restaurant,
Pool

",no rating,1,"

40"
145,Mikado Motel Nigeria Limited,"Port Harcourt, Rivers - 12 Uyo Street, Rumuomasi",no price,",Restaurant

",no rating,1,"

36"
146,Oasis Green ,"Portharcourt, Rivers - 3 Nyenwenwo Avenue Hillview (Cocain) Estate Rumuogba",10000,",Restaurant

",no rating,no review,"

36"
147,Bluxton Hill Hotel,"Port Harcourt, Rivers - 30 Hilltop Drive Rumukalagbor ",12000,",Restaurant,
Bar,
Gym

",no rating,2,"

34"
148,Exit Hotel,"Port Harcourt, Rivers - 36 Obi-Wali,Road Rumuigbo.",no price,",Restaurant,
Bar

",no rating,no review,"

34"
149,Eastlake Hotel,"Port Harcourt, Rivers - Plot 109 GRA, Phase III, (No 7 Royal Crescent), Off Prof Abowei Street, Port Harcourt, Rivers State, Nigeria",no price,",Restaurant,
Pool,
Bar

",no rating,1,"

28"
150,Eden Classic Hotel (Edessa Hotels),"Port Harcourt, Rivers - 75 Egbelu Behind Omega Plaza, East West Road, Rumuodara, Obio Akpor.",no price,",Internet,
Restaurant,
Bar

",no rating,no review,"

28"
151,Afrique Continental,"Port Harcourt, Rivers - Adonai Bust Top East/West Road Akpajo-Eleme",no price,",Bar

",no rating,no review,"

25"
152,Applause Hotels,"Port Harcourt, Rivers - Plot 30/45 Federal Housing Site (ADP) Rumuodomaya, Obio Akpor L.G.A., Port Harcourt, Beside Gifted Hands School",no price,",Restaurant,
Bar

",no rating,1,"

23"
153,Igoni Palace Hotel View Hotel,"Port Harcourt., Rivers - No. 1 Igoni Lane, Off NNPC Refinery Main Gate, Abam Junction, Okrika ",10000,",Internet,
Restaurant,
Pool,
Bar

",no rating,1,"

17"
154,Savvy Sunny Suites,"Port Harcourt, Rivers - 6 Nwankpa Close Off Okoro Road, Artillery",7000,",Restaurant

",no rating,no review,"

17"
155,Rayjok Hotel And Suites,"Port Harcourt, Rivers - 10 East-West Road, Port Harcourt",13000,",Internet,
Bar

",no rating,no review,"

15"
156,Resdon Hotel And Suites," Port Harcourt, Rivers - 32, Christ Avenue Off Igbo Etche Road, Rumuokwurushi Pipeline Port Harcourt",10000,"
",no rating,no review,"

10"
157,Dew Drops,"Port Harcourt, Rivers - No 1 Grace Avenue, Umuebele IV, Off Makason Junction, Umuebele, Etche",no price,",Restaurant,
Bar

",no rating,no review,"

6"
